stage,model,sensitive_attr,group,n,base_rate_true_at_risk,accuracy,balanced_accuracy,precision_at_risk,recall_at_risk,f1_at_risk,tp,tn,fp,fn,tpr_recall_at_risk,fpr,fnr,tnr,selection_rate_pred_at_risk,roc_auc
full_100pct,LogisticRegression,highest_education,Post Graduate Qualification,86,0.29069767441860467,0.9651162790697675,0.94,1.0,0.88,0.9361702127659575,22,61,0,3,0.88,0.0,0.12,1.0,0.2558139534883721,0.9796721311475409
full_100pct,LogisticRegression,imd_band,0-10%,866,0.6501154734411085,0.9064665127020786,0.9044399111314328,0.9430147058823529,0.911190053285968,0.926829268292683,513,272,31,50,0.911190053285968,0.10231023102310231,0.08880994671403197,0.8976897689768977,0.628175519630485,0.9634736120148428
full_100pct,LogisticRegression,imd_band,10-20,856,0.6016355140186916,0.9065420560747663,0.9044956296443926,0.9289940828402367,0.9145631067961165,0.9217221135029354,471,305,36,44,0.9145631067961165,0.10557184750733138,0.0854368932038835,0.8944281524926686,0.5922897196261683,0.9708623978589529
full_100pct,LogisticRegression,imd_band,20-30%,918,0.5860566448801743,0.9357298474945533,0.9358931715906867,0.9544592030360531,0.9349442379182156,0.9446009389671362,503,356,24,35,0.9349442379182156,0.06315789473684211,0.06505576208178439,0.9368421052631579,0.5740740740740741,0.9814811191547641
full_100pct,LogisticRegression,imd_band,30-40%,920,0.5271739130434783,0.9206521739130434,0.9220168266382274,0.9497816593886463,0.8969072164948454,0.9225874867444327,435,412,23,50,0.8969072164948454,0.052873563218390804,0.10309278350515463,0.9471264367816092,0.49782608695652175,0.9759687166725914
full_100pct,LogisticRegression,imd_band,40-50%,832,0.5408653846153846,0.9362980769230769,0.9375509016870274,0.9584295612009238,0.9222222222222223,0.9399773499433749,415,364,18,35,0.9222222222222223,0.04712041884816754,0.07777777777777778,0.9528795811518325,0.5204326923076923,0.9768993600930772
full_100pct,LogisticRegression,imd_band,50-60%,741,0.5020242914979757,0.9284750337381916,0.9285230352303523,0.9393939393939394,0.9166666666666666,0.927891156462585,341,347,22,31,0.9166666666666666,0.05962059620596206,0.08333333333333333,0.940379403794038,0.4898785425101215,0.9761124224145468
full_100pct,LogisticRegression,imd_band,60-70%,710,0.4887323943661972,0.9295774647887324,0.9289065663181462,0.9541284403669725,0.899135446685879,0.9258160237388724,312,348,15,35,0.899135446685879,0.04132231404958678,0.10086455331412104,0.9586776859504132,0.46056338028169014,0.9714911758401411
full_100pct,LogisticRegression,imd_band,70-80%,683,0.48755490483162517,0.9136163982430454,0.9130158730158731,0.9308176100628931,0.8888888888888888,0.9093701996927803,296,328,22,37,0.8888888888888888,0.06285714285714286,0.1111111111111111,0.9371428571428572,0.465592972181552,0.9726469326469326
full_100pct,LogisticRegression,imd_band,80-90%,709,0.47531734837799716,0.9393511988716502,0.9375977154526021,0.9681528662420382,0.9020771513353115,0.9339477726574501,304,362,10,33,0.9020771513353115,0.026881720430107527,0.09792284866468842,0.9731182795698925,0.44287729196050774,0.9760696850770556
